city,year,Ctnm,Cttyp,GDP,Gdpct01,Gdpct02,Gdpct03,GDP_PerCapita,GDP_PrimInd,GDP_SecInd,GDP_TerInd,Eect04,Eect05,Eect06,Eect08,Eect09,Eect10,Eect11,Eect12,wage,hpopu,urban,nightLight
2302,2015,齐齐哈尔市,地级市,1270.3,24.1,31.1,44.8,24430.0,3065000.0,3943000.0,5695000.0,129.27,40.7438,80.9693,16.89,27.13,55.98,36.27,1705245.0,47011.0,549.3897,47.97999954223633,0.0903418526423939
4108,2015,焦作市,地级市,1926.0785,7.118053599580702,59.7567648462926,33.12518155412668,54590.0,1370993.0,11509622.0,6380170.0,913.78,50.337,45.6052,0.02,59.53,40.45,46.11,1943482.0,42153.0,370.632,54.84999847412109,0.9313423818321068
2327,2015,大兴安岭地区,地级市,135.1,48.7,9.5,41.8,21859.0,657000.0,129000.0,564000.0,913.78,50.337,45.6052,0.02,59.53,40.45,46.11,1943482.0,42153.0,47.2416,54.84999847412109,0.0009686853153754
2308,2015,佳木斯市,地级市,810.2,33.1,22.0,44.9,35069.0,2679000.0,1783000.0,3640000.0,72.77,18.0105,22.2378,11.76,26.72,61.52,18.19,778438.0,46978.0,229.1936,56.77000045776367,0.1055102629978746
2305,2015,双鸭山市,地级市,433.3,38.2,22.8,39.0,29237.0,1656000.0,987000.0,1691000.0,64.99,13.7245,15.5388,4.35,40.81,54.83,14.22,544408.0,42176.0,147.4346,63.75,0.0447965999673425
2310,2015,牡丹江市,地级市,1178.6,18.9,38.6,42.5,47356.0,2228000.0,4546000.0,5011000.0,67.48,26.4769,37.1041,15.04,31.32,53.64,23.2,1099948.0,47412.0,255.0229,50.70999908447266,0.0730743147954527
2312,2015,绥化市,地级市,1272.2,39.8,26.3,33.9,23095.0,5060000.0,3340000.0,4322000.0,157.43,26.1182,26.8342,4.94,29.92,65.14,24.63,986570.0,35229.0,548.5074,35.56999969482422,0.0485296042484277
2311,2015,黑河市,地级市,447.7,47.8,15.2,37.0,26575.0,2141000.0,679000.0,1657000.0,24.58,30.6539,26.8342,48.91,12.5,38.59,11.5,460009.0,40001.0,167.9423,56.40000152587891,0.0132954392521419
2303,2015,鸡西市,地级市,514.7,36.4,26.0,37.6,28222.0,1875000.0,1336000.0,1936000.0,80.78,28.2753,1.5127,26.46,32.73,40.82,21.5,798504.0,39891.0,181.1696,67.55999755859375,0.0508191534621998
2306,2015,大庆市,地级市,2983.5,6.5,64.9,28.6,110113.0,1949000.0,19357000.0,8528000.0,129.6,52.02,1.5127,0.65,50.54,48.81,52.68,3521280.0,66839.0,277.4848,66.52999877929688,0.5966935411695247
2304,2015,鹤岗市,地级市,265.6,35.2,29.9,34.9,24981.0,935000.0,794000.0,928000.0,72.21,19.877,9.3147,27.01,39.17,33.82,13.6,497177.0,41066.0,105.607,79.20999908447266,0.0310232635161593
2309,2015,七台河市,地级市,212.7,16.1,36.8,47.1,24823.0,342000.0,782000.0,1002000.0,133.42,11.1673,9.3147,3.93,60.38,35.7,11.2,462372.0,41301.0,83.1095,70.02999877929688,0.0968667118312946
2301,2015,哈尔滨市,副省级市,5751.2,11.7,32.4,55.9,59027.0,6725000.0,18628000.0,32159000.0,180.98,133.3069,115.6645,3.41,33.31,63.28,125.68,7340178.0,58405.0,961.3743,63.97000122070313,0.2788146933011421
4113,2015,南阳市,地级市,2866.8156,17.49852693699588,44.25535775652958,38.24611530647454,28653.0,5016505.0,12687195.0,10964456.0,448.53,95.9404,55.2771,0.75,45.25,54.0,94.52,3892411.0,43082.0,1182.51,41.29999923706055,0.1971313735455348
4109,2015,濮阳市,地级市,1328.341,11.8552766194825,56.5507727307973,31.59395064972022,36842.0,1574785.0,7511871.0,4196754.0,1024.36,40.8819,32.232,0.05,61.1,38.85,38.03,1657915.0,43587.0,391.9,40.34999847412109,0.8461741930872224
6326,2015,果洛藏族自治州,地级市,35.66,16.5,38.4,45.1,18089.0,58800.0,136800.0,161000.0,1024.36,40.8819,32.232,0.05,61.1,38.85,38.03,1657915.0,43587.0,19.7212,40.34999847412109,0.0022452452533547
6323,2015,黄南藏族自治州,地级市,72.75,27.0,34.9,38.1,27177.0,196200.0,254100.0,277200.0,1024.36,40.8819,32.232,0.05,61.1,38.85,38.03,1657915.0,43587.0,27.0557,40.34999847412109,0.0164310513209371
3707,2015,潍坊市,地级市,5170.5,8.8,48.17,43.02,55824.0,4550040.0,24906298.5,22243491.0,553.8,87.0238,542.6231,0.11,51.7,48.19,77.41,4423691.0,57148.0,893.71,55.79999923706055,0.836314628786688
3712,2015,莱芜市,地级市,665.83,7.92,51.69,40.39,49377.0,527337.36,3441675.27,2689287.37,569.9,17.9247,13.9854,0.11,66.56,33.44,17.39,864338.0,49713.0,128.32,55.79999923706055,0.836314628786688
